id_jogo_cbf,data_jogo,time_mandante,time_visitante,estadio,competicao,publico_pagante,publico_nao_pagante,publico_total,receita_bruta_total,despesa_total,resultado_liquido,caminho_pdf_local,data_processamento,status,log_erro
14225b_2024,2024-04-21,Botafogo-RJ,Juventude,Nilton Santos,Campeonato Brasileiro Série A,13273,1955,15228,496910.0,668897.64,-171987.64,pdfs\14225b_2024.pdf,2025-05-05,Sucesso,
142260b_2024,2024-09-15,Juventude,Fluminense,Alfredo Jaconi,Campeonato Brasileiro Série A,6632,0,6632,278760.0,106792.87,171967.13,pdfs\142260b_2024.pdf,2025-05-05,Sucesso,
142261b_2024,2024-09-22,Grêmio,Flamengo,Arena do Grêmio,Campeonato Brasileiro Série A,17786,883,18669,1260953.0,402347.73,858605.27,pdfs\142261b_2024.pdf,2025-05-05,Sucesso,
142262b_2024,2024-09-22,Atlético Mineiro,Red Bull Bragantino,Arena MRV,Campeonato Brasileiro Série A,24618,620,25238,1061920.97,490251.45,571669.52,pdfs\142262b_2024.pdf,2025-05-05,Sucesso,
142263b_2024,2024-09-21,Vitória,Juventude,Manoel Barradas,Campeonato Brasileiro Série A,24479,0,24479,627926.0,384681.59,243244.41,pdfs\142263b_2024.pdf,2025-05-05,Sucesso,
142264b_2024,2024-09-21,Fluminense,Botafogo-RJ,Maracanã,Campeonato Brasileiro Série A,29710,1201,30911,1339144.5,1371075.63,-31931.13,pdfs\142264b_2024.pdf,2025-05-05,Sucesso,
142265b_2024,2024-09-22,Vasco da Gama,Palmeiras,Arena BRB (Mané Garrincha),Campeonato Brasileiro Série A,64848,0,64848,7496563.0,1173070.77,6323492.23,pdfs\142265b_2024.pdf,2025-05-05,Sucesso,
142266b_2024,2024-09-21,Corinthians,Atlético Goianiense,Neo Química Arena,Campeonato Brasileiro Série A,46001,0,46001,2585075.0,967015.36,1618059.64,pdfs\142266b_2024.pdf,2025-05-05,Sucesso,
142267b_2024,2024-09-22,São Paulo,Internacional,Morumbi,Campeonato Brasileiro Série A,39078,0,39078,2083806.0,793424.8,1290381.2,pdfs\142267b_2024.pdf,2025-05-05,Sucesso,
142268b_2024,2024-09-21,Fortaleza,Bahia,Arena Castelão,Campeonato Brasileiro Série A,24774,614,25388,306031.0,406891.66,-100860.66,pdfs\142268b_2024.pdf,2025-05-05,Sucesso,
142269b_2024,2024-09-22,Cuiabá,Cruzeiro,Arena Pantanal,Campeonato Brasileiro Série A,5948,0,5948,129730.0,210257.77,-80527.77,pdfs\142269b_2024.pdf,2025-05-05,Sucesso,
14226b_2024,2024-04-21,Palmeiras,Flamengo,Arena Allianz Parque,Campeonato Brasileiro Série A,29956,0,29956,2829978.43,842470.33,1987508.1,pdfs\14226b_2024.pdf,2025-05-05,Sucesso,
142270b_2024,2024-09-22,Criciúma,Athletico Paranaense,Heriberto Hülse,Campeonato Brasileiro Série A,12765,0,12765,487300.0,658048.09,-170748.09,pdfs\142270b_2024.pdf,2025-05-05,Sucesso,
142271b_2024,2024-09-29,Internacional,Vitória,Beira-Rio,Campeonato Brasileiro Série A,40405,0,40405,2044296.0,431330.09,1612965.91,pdfs\142271b_2024.pdf,2025-05-05,Sucesso,
142272b_2024,2024-09-29,Cruzeiro,Vasco da Gama,Mineirão,Campeonato Brasileiro Série A,36817,388,37205,1283610.0,769365.94,514244.06,pdfs\142272b_2024.pdf,2025-05-05,Sucesso,
142273b_2024,2024-09-29,Bahia,Criciúma,Arena Fonte Nova,Campeonato Brasileiro Série A,24574,0,24574,714909.0,755445.29,-40536.29,pdfs\142273b_2024.pdf,2025-05-05,Sucesso,
142274b_2024,2024-09-29,Flamengo,Athletico Paranaense,Maracanã,Campeonato Brasileiro Série A,28708,789,29497,1346565.0,1463270.68,-116705.68,pdfs\142274b_2024.pdf,2025-05-05,Sucesso,
142275b_2024,2024-09-28,Botafogo-RJ,Grêmio,Arena BRB (Mané Garrincha),Campeonato Brasileiro Série A,30735,0,30735,3626255.0,627373.97,2998881.03,pdfs\142275b_2024.pdf,2025-05-05,Sucesso,
142276b_2024,2024-09-28,Palmeiras,Atlético Mineiro,Brinco de Ouro da Princesa,Campeonato Brasileiro Série A,16040,0,16040,735045.0,642803.91,92241.09,pdfs\142276b_2024.pdf,2025-05-05,Sucesso,
142277b_2024,2024-09-29,São Paulo,Corinthians,Estadio Nacional,Campeonato Brasileiro Série A,25888,0,25888,2970735.0,764054.23,2206680.77,pdfs\142277b_2024.pdf,2025-05-05,Sucesso,
142278b_2024,2024-09-29,Fortaleza,Cuiabá,Arena Castelão,Campeonato Brasileiro Série A,32654,569,33223,420459.0,423225.66,-2766.66,pdfs\142278b_2024.pdf,2025-05-05,Sucesso,
142279b_2024,2024-09-29,Atlético Goianiense,Fluminense,Antônio Accioly,Campeonato Brasileiro Série A,7871,1116,8987,165485.0,77140.54,88344.46,pdfs\142279b_2024.pdf,2025-05-05,Sucesso,
14227b_2024,2024-04-20,Red Bull Bragantino,Corinthians,Nabi Abi Chedid,Campeonato Brasileiro Série A,9466,0,9466,490705.0,221353.09,269351.91,pdfs\14227b_2024.pdf,2025-05-05,Sucesso,
142280b_2024,2024-09-29,Juventude,Red Bull Bragantino,Alfredo Jaconi,Campeonato Brasileiro Série A,6285,0,6285,248680.0,104090.85,144589.15,pdfs\142280b_2024.pdf,2025-05-05,Sucesso,
142281b_2024,2024-10-04,Grêmio,Fortaleza,Arena do Grêmio,Campeonato Brasileiro Série A,21984,0,21984,1179329.0,360392.28,818936.72,pdfs\142281b_2024.pdf,2025-05-05,Sucesso,
142282b_2024,2024-05-10,Atlético Mineiro,Vitória,Arena MRV,Campeonato Brasileiro Série A,34910,540,35450,1717455.55,559585.37,1157870.18,pdfs\142282b_2024.pdf,2025-05-05,Sucesso,
142283b_2024,2024-05-10,Bahia,Flamengo,Arena Fonte Nova,Campeonato Brasileiro Série A,41978,0,41978,1937521.0,1006617.65,930903.35,pdfs\142283b_2024.pdf,2025-05-05,Sucesso,
142284b_2024,2024-10-03,Fluminense,Cruzeiro,Maracanã,Campeonato Brasileiro Série A,19352,485,19837,783668.0,1178408.49,-394740.49,pdfs\142284b_2024.pdf,2025-05-05,Sucesso,
142285b_2024,2024-10-05,Vasco da Gama,Juventude,São Januário,Campeonato Brasileiro Série A,18036,402,18438,929341.0,650683.2,278657.8,pdfs\142285b_2024.pdf,2025-05-05,Sucesso,
142286b_2024,2024-10-05,Corinthians,Internacional,Neo Química Arena,Campeonato Brasileiro Série A,44597,0,44597,2595477.0,964072.95,1631404.05,pdfs\142286b_2024.pdf,2025-05-05,Sucesso,
142287b_2024,2024-10-05,Red Bull Bragantino,Palmeiras,Nabi Abi Chedid,Campeonato Brasileiro Série A,9989,0,9989,509320.0,219461.03,289858.97,pdfs\142287b_2024.pdf,2025-05-05,Sucesso,
142288b_2024,2024-05-10,Athletico Paranaense,Botafogo-RJ,Ligga Arena,Campeonato Brasileiro Série A,22726,0,22726,1001405.0,206694.74,794710.26,pdfs\142288b_2024.pdf,2025-05-05,Sucesso,
142289b_2024,2024-05-10,Cuiabá,São Paulo,Arena Pantanal,Campeonato Brasileiro Série A,11883,0,11883,977820.0,314185.89,663634.11,pdfs\142289b_2024.pdf,2025-05-05,Sucesso,
14228b_2024,2024-04-21,Athletico Paranaense,Internacional,Ligga Arena,Campeonato Brasileiro Série A,28788,0,28788,1308600.0,339996.94,968603.06,pdfs\14228b_2024.pdf,2025-05-05,Sucesso,
142290b_2024,2024-03-10,Criciúma,Atlético Goianiense,Heriberto Hülse,Campeonato Brasileiro Série A,12343,0,12343,452720.0,605939.66,-153219.66,pdfs\142290b_2024.pdf,2025-05-05,Sucesso,
142291b_2024,2024-10-19,Internacional,Grêmio,Beira-Rio,Campeonato Brasileiro Série A,50259,0,50259,2744784.0,533932.02,2210851.98,pdfs\142291b_2024.pdf,2025-05-05,Sucesso,
142292b_2024,2024-10-18,Cruzeiro,Bahia,Mineirão,Campeonato Brasileiro Série A,34473,0,34473,1197697.6,615027.23,582670.37,pdfs\142292b_2024.pdf,2025-05-05,Sucesso,
142293b_2024,2024-10-19,Vitória,Red Bull Bragantino,Manoel Barradas,Campeonato Brasileiro Série A,24942,0,24942,657188.0,411657.28,245530.72,pdfs\142293b_2024.pdf,2025-05-05,Sucesso,
142294b_2024,2024-10-17,Flamengo,Fluminense,Maracanã,Campeonato Brasileiro Série A,58117,1633,59750,2877442.5,1884408.39,958277.92,pdfs\142294b_2024.pdf,2025-05-05,Sucesso,
142295b_2024,2024-10-18,Botafogo-RJ,Criciúma,Maracanã,Campeonato Brasileiro Série A,64727,4312,69039,3261898.0,2164569.01,1053435.84,pdfs\142295b_2024.pdf,2025-05-05,Sucesso,
142296b_2024,2024-10-17,Corinthians,Athletico Paranaense,Neo Química Arena,Campeonato Brasileiro Série A,44116,0,44116,2447030.5,945488.21,1501542.29,pdfs\142296b_2024.pdf,2025-05-05,Sucesso,
142297b_2024,2024-10-16,São Paulo,Vasco da Gama,Brinco de Ouro da Princesa,Campeonato Brasileiro Série A,15497,0,15497,991227.0,481852.78,509374.22,pdfs\142297b_2024.pdf,2025-05-05,Sucesso,
142298b_2024,2024-10-16,Fortaleza,Atlético Mineiro,Arena Castelão,Campeonato Brasileiro Série A,23046,259,23305,301513.0,389813.0,-88300.0,pdfs\142298b_2024.pdf,2025-05-05,Sucesso,
142299b_2024,2024-10-18,Atlético Goianiense,Cuiabá,Antônio Accioly,Campeonato Brasileiro Série A,3622,979,4601,30480.0,69859.32,-39379.32,pdfs\142299b_2024.pdf,2025-05-05,Sucesso,
14229b_2024,2024-04-21,Atlético Goianiense,São Paulo,Antônio Accioly,Campeonato Brasileiro Série A,9017,993,10010,763180.0,145956.62,617223.38,pdfs\14229b_2024.pdf,2025-05-05,Sucesso,
142300b_2024,2024-10-20,Juventude,Palmeiras,Alfredo Jaconi,Campeonato Brasileiro Série A,10102,0,10102,433150.0,122615.41,310534.59,pdfs\142300b_2024.pdf,2025-05-05,Sucesso,
